tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
32.177,9.4803,-3.7422,15.0000,54.8698,21.4653
32.227,9.6050,2.4948,15.0000,55.1396,26.8342
32.277,9.6674,1.2474,15.0000,55.4062,25.9860
32.327,9.6050,-1.2474,15.0000,55.6760,23.8062
32.377,9.6050,0.0000,15.0000,55.9457,24.8155
32.427,9.4179,-3.7422,15.0000,56.2248,21.3041
32.477,9.4803,1.2474,15.0000,56.5008,25.5026
32.527,9.5427,1.2474,15.0000,56.7737,25.6637
32.577,9.6674,2.4948,15.0000,57.0403,26.9953
32.627,9.4803,-3.7422,15.0000,57.3163,21.4653
32.677,9.4803,0.0000,15.0000,57.5923,24.4933
32.727,9.5427,1.2474,15.0000,57.8651,25.6637
32.777,9.6050,1.2474,15.0000,58.1349,25.8249
32.827,9.6050,0.0000,15.0000,58.4046,24.8155
32.877,9.6050,0.0000,15.0000,58.6744,24.8155
32.927,9.4179,-3.7422,15.0000,58.9535,21.3041
32.977,9.5427,2.4948,15.0000,59.2263,26.6731
33.027,9.5427,0.0000,15.0000,59.4992,24.6544
33.077,9.4179,-2.4948,15.0000,59.7783,22.3135
33.127,9.6050,3.7422,15.0000,60.0481,27.8435
33.177,9.4803,-2.4948,15.0000,60.3240,22.4746
33.227,9.4179,-1.2474,15.0000,60.6032,23.3228
33.277,9.5427,2.4948,15.0000,60.8760,26.6731
33.327,9.6050,1.2474,15.0000,61.1458,25.8249
33.377,9.4803,-2.4948,15.0000,61.4218,22.4746
33.427,9.4179,-1.2474,15.0000,61.7009,23.3228
33.477,9.5427,2.4948,15.0000,61.9737,26.6731
33.527,9.6050,1.2474,15.0000,62.2435,25.8249
33.577,9.4803,-2.4948,15.0000,62.5195,22.4746
33.627,9.6050,2.4948,15.0000,62.7892,26.8342
33.677,9.6050,0.0000,15.0000,63.0590,24.8155
33.727,9.6674,1.2474,15.0000,63.3256,25.9860
33.777,9.5427,-2.4948,15.0000,63.5985,22.6357
33.827,9.6674,2.4948,15.0000,63.8651,26.9953
33.877,9.6674,0.0000,15.0000,64.1317,24.9767
33.927,9.3555,-6.2370,15.0000,64.4139,19.1244
33.977,9.4179,1.2474,15.0000,64.6930,25.3414
34.027,9.6050,3.7422,15.0000,64.9628,27.8435
34.077,9.5427,-1.2474,15.0000,65.2357,23.6451
34.127,9.5427,0.0000,15.0000,65.5085,24.6544
34.177,9.7298,3.7422,15.0000,65.7720,28.1658
34.227,9.6674,-1.2474,15.0000,66.0387,23.9674
34.277,9.7298,1.2474,15.0000,66.3022,26.1471
34.327,9.6674,-1.2474,15.0000,66.5688,23.9674
34.377,9.5427,-2.4948,15.0000,66.8417,22.6357
34.427,9.7298,3.7422,15.0000,67.1052,28.1658
34.477,9.6674,-1.2474,15.0000,67.3718,23.9674
34.527,9.6674,0.0000,15.0000,67.6384,24.9767
34.577,9.7921,2.4948,15.0000,67.8988,27.3176
34.627,9.7921,0.0000,15.0000,68.1592,25.2990
34.677,9.8545,1.2474,15.0000,68.4165,26.4694
34.727,9.9792,2.4948,15.0000,68.6675,27.8010
34.777,9.7921,-3.7422,15.0000,68.9279,22.2710
34.827,10.1664,7.4844,15.0000,69.1696,32.3217
34.877,10.1040,-1.2474,15.0000,69.4144,25.0953
34.927,10.4158,6.2370,15.0000,69.6436,31.9570
34.977,10.2287,-3.7422,15.0000,69.8822,23.3990
35.027,10.5406,6.2370,15.0000,70.1052,32.2793
35.077,10.6029,1.2474,15.0000,70.3250,28.4031
35.127,10.6653,1.2474,15.0000,70.5418,28.5642
35.177,10.7277,1.2474,15.0000,70.7554,28.7254
35.227,11.0395,6.2370,15.0000,70.9534,33.5684
35.277,11.1643,2.4948,15.0000,71.1452,30.8627
35.327,11.1019,-1.2474,15.0000,71.3401,27.6736
35.377,11.2890,3.7422,15.0000,71.5256,32.1943
35.427,11.4138,2.4948,15.0000,71.7049,31.5072
35.477,11.2890,-2.4948,15.0000,71.8905,27.1476
35.527,11.3514,1.2474,15.0000,72.0729,30.3368
35.577,11.5385,3.7422,15.0000,72.2460,32.8388
35.627,11.5385,0.0000,15.0000,72.4191,29.8109
35.677,11.8503,6.2370,15.0000,72.5766,35.6632
35.727,11.9127,1.2474,15.0000,72.7309,31.7870
35.777,11.9127,0.0000,15.0000,72.8853,30.7777
35.827,12.0375,2.4948,15.0000,73.0334,33.1186
35.877,12.4117,7.4844,15.0000,73.1628,38.1227
35.927,12.7859,7.4844,15.0000,73.2735,39.0896
35.977,12.7235,-1.2474,15.0000,73.3874,31.8632
36.027,12.9106,3.7422,15.0000,73.4918,36.3839
36.077,12.9106,0.0000,15.0000,73.5963,33.3559
36.127,13.1601,4.9896,15.0000,73.6883,38.0378
36.177,13.5343,7.4844,15.0000,73.7616,41.0233
36.227,13.4096,-2.4948,15.0000,73.8411,32.6264
36.277,13.5343,2.4948,15.0000,73.9144,36.9860
36.327,13.0977,-8.7318,15.0000,74.0095,26.7741
36.377,13.6591,11.2266,15.0000,74.0765,44.3735
36.427,13.6591,0.0000,15.0000,74.1436,35.2896
36.477,13.8462,3.7422,15.0000,74.2013,38.8010
36.527,13.7214,-2.4948,15.0000,74.2652,33.4321
36.577,13.6591,-1.2474,15.0000,74.3323,34.2803
36.627,13.5967,-1.2474,15.0000,74.4024,34.1191
36.677,14.1580,11.2266,15.0000,74.4445,45.6626
36.727,13.9086,-4.9896,15.0000,74.4991,31.8968
