tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
116.280,13.6591,2.4948,0.0000,-206.2457,37.3082
116.330,13.7214,1.2474,0.0000,-206.9318,36.4601
116.380,13.5967,-2.4948,0.0000,-207.6116,33.1098
116.430,13.5343,-1.2474,0.0000,-208.2883,33.9580
116.480,13.2849,-4.9896,0.0000,-208.9526,30.2855
116.530,13.3472,1.2474,0.0000,-209.6199,35.4932
116.580,13.2849,-1.2474,0.0000,-210.2842,33.3134
116.630,13.4720,3.7422,0.0000,-210.9578,37.8341
116.680,13.8462,7.4844,0.0000,-211.6501,41.8290
116.730,13.4720,-7.4844,0.0000,-212.3237,28.7502
116.780,13.8462,7.4844,0.0000,-213.0160,41.8290
116.830,13.9086,1.2474,0.0000,-213.7114,36.9435
116.880,13.6591,-4.9896,0.0000,-214.3944,31.2523
116.930,13.7214,1.2474,0.0000,-215.0804,36.4601
116.980,13.3472,-7.4844,0.0000,-215.7478,28.4279
117.030,13.5967,4.9896,0.0000,-216.4276,39.1658
117.080,13.4720,-2.4948,0.0000,-217.1012,32.7875
117.130,13.9709,9.9792,0.0000,-217.7998,44.1699
117.180,13.7838,-3.7422,0.0000,-218.4890,32.5839
117.230,13.4720,-6.2370,0.0000,-219.1626,29.7595
117.280,13.7214,4.9896,0.0000,-219.8486,39.4880
117.330,13.9086,3.7422,0.0000,-220.5441,38.9621
117.380,13.4720,-8.7318,0.0000,-221.2177,27.7409
117.430,13.7214,4.9896,0.0000,-221.9037,39.4880
117.480,13.7838,1.2474,0.0000,-222.5929,36.6212
117.530,13.8462,1.2474,0.0000,-223.2852,36.7823
117.580,13.7214,-2.4948,0.0000,-223.9713,33.4321
117.630,13.6591,-1.2474,0.0000,-224.6543,34.2803
117.680,14.3451,13.7214,0.0000,-225.3715,48.1647
117.730,13.9086,-8.7318,0.0000,-226.0669,28.8689
117.780,13.7838,-2.4948,0.0000,-226.7561,33.5932
117.830,13.7214,-1.2474,0.0000,-227.4422,34.4414
117.880,13.9709,4.9896,0.0000,-228.1408,40.1326
117.930,13.5967,-7.4844,0.0000,-228.8206,29.0725
117.980,13.8462,4.9896,0.0000,-229.5129,39.8103
118.030,14.0957,4.9896,0.0000,-230.2177,40.4548
118.080,13.9086,-3.7422,0.0000,-230.9131,32.9062
118.130,13.7838,-2.4948,0.0000,-231.6023,33.5932
118.180,13.7214,-1.2474,0.0000,-232.2884,34.4414
118.230,13.7838,1.2474,0.0000,-232.9776,36.6212
118.280,14.0333,4.9896,0.0000,-233.6792,40.2937
118.330,13.4720,-11.2266,0.0000,-234.3528,25.7222
118.380,13.5967,2.4948,0.0000,-235.0327,37.1471
118.430,13.7838,3.7422,0.0000,-235.7219,38.6398
118.480,13.9086,2.4948,0.0000,-236.4173,37.9528
118.530,13.9086,0.0000,0.0000,-237.1127,35.9341
118.580,13.6591,-4.9896,0.0000,-237.7957,31.2523
118.630,14.0333,7.4844,0.0000,-238.4973,42.3124
118.680,13.5343,-9.9792,0.0000,-239.1740,26.8927
118.730,13.9709,8.7318,0.0000,-239.8726,43.1606
118.780,13.7214,-4.9896,0.0000,-240.5587,31.4134
118.830,13.8462,2.4948,0.0000,-241.2510,37.7916
118.880,13.7838,-1.2474,0.0000,-241.9402,34.6025
118.930,13.7214,-1.2474,0.0000,-242.6262,34.4414
118.980,13.8462,2.4948,0.0000,-243.3185,37.7916
119.030,13.7838,-1.2474,0.0000,-244.0077,34.6025
119.080,13.6591,-2.4948,0.0000,-244.6907,33.2709
119.130,14.1580,9.9792,0.0000,-245.3986,44.6533
119.180,13.5967,-11.2266,0.0000,-246.0784,26.0445
119.230,13.8462,4.9896,0.0000,-246.7707,39.8103
119.280,13.5967,-4.9896,0.0000,-247.4506,31.0911
119.330,13.4720,-2.4948,0.0000,-248.1242,32.7875
119.380,13.6591,3.7422,0.0000,-248.8071,38.3176
119.430,14.1580,9.9792,0.0000,-249.5150,44.6533
119.480,13.6591,-9.9792,0.0000,-250.1980,27.2150
119.530,13.5967,-1.2474,0.0000,-250.8778,34.1191
119.580,13.7838,3.7422,0.0000,-251.5670,38.6398
119.630,13.9086,2.4948,0.0000,-252.2624,37.9528
119.680,13.7838,-2.4948,0.0000,-252.9516,33.5932
119.730,13.7838,0.0000,0.0000,-253.6408,35.6119
119.780,13.7214,-1.2474,0.0000,-254.3269,34.4414
119.830,13.7838,1.2474,0.0000,-255.0161,36.6212
119.880,13.7214,-1.2474,0.0000,-255.7021,34.4414
119.930,13.7838,1.2474,0.0000,-256.3913,36.6212
119.980,13.8462,1.2474,0.0000,-257.0836,36.7823
120.030,13.9709,2.4948,0.0000,-257.7822,38.1139
120.080,13.9086,-1.2474,0.0000,-258.4776,34.9248
120.130,13.9709,1.2474,0.0000,-259.1762,37.1046
120.180,14.0333,1.2474,0.0000,-259.8778,37.2658
