tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K,x_ddot,posicao_cm_norm,velocidade_cms_norm,x_ref_cm_norm,e_int_norm,u_K_norm
67.977,11.289,2.4948,5.0,-46.2268,31.1849,0.10602288329502718,0.13871344741177133,0.5136370774907836,-1.465053945420711,-1.0706863890222238,0.31087492258878546
68.027,11.1643,-2.4948,5.0,-46.535,26.8254,-4.860741418764332,0.10693818881242623,-0.5261699515737737,-1.465053945420711,-1.07687571646418,-0.08764320756243843
68.077,11.0395,-2.4948,5.0,-46.837,26.5031,-1.8717116704804064,0.07513744885093208,-0.5261699515737737,-1.465053945420711,-1.082940534398868,-0.11710585083523091
68.127,11.1019,1.2474,5.0,-47.1421,29.6922,0.6198260869565592,0.09103781883167915,0.25368532022464424,-1.465053945420711,-1.08906760708719,0.17442165664619308
68.177,10.9772,-2.4948,5.0,-47.4409,26.342,0.941972540045832,0.05926256023233358,-0.5261699515737737,-1.465053945420711,-1.0950681620503846,-0.13183260178542305
68.227,11.0395,1.2474,5.0,-47.7429,29.5311,-2.0715240274599527,0.07513744885093208,0.25368532022464424,-1.465053945420711,-1.1011329799850724,0.15969490569600092
68.277,10.9148,-2.4948,5.0,-48.0386,26.1808,1.496553775743579,0.04336219025158651,-0.5261699515737737,-1.465053945420711,-1.1070712801946327,-0.1465684941080234
68.327,11.289,7.4844,5.0,-48.3531,35.2222,1.2314965675057603,0.13871344741177133,1.5534441065553406,-1.465053945420711,-1.1133871253617165,0.6799395508396254
68.377,11.0395,-4.9896,5.0,-48.6551,24.4845,-0.6157482837528163,0.07513744885093208,-1.0460734661060522,-1.465053945420711,-1.1194519432964043,-0.3016335942744464
68.427,11.1019,1.2474,5.0,-48.9602,29.6922,2.8055286041188934,0.09103781883167915,0.25368532022464424,-1.465053945420711,-1.1255790159847265,0.17442165664619308
68.477,11.1019,0.0,5.0,-49.2653,28.6829,-1.4802425629288467,0.09103781883167915,-0.006266437041495043,-1.465053945420711,-1.1317060886730486,0.0821577849265853
68.527,10.8524,-4.9896,5.0,-49.5579,24.001,1.5617986270023265,0.02746182027083944,-1.0460734661060522,-1.465053945420711,-1.1375821341289745,-0.3458321298698396
68.577,11.0395,3.7422,5.0,-49.8599,31.5497,4.314315789473367,0.07513744885093208,0.7735888347569227,-1.465053945420711,-1.1436469520636625,0.3442226491352168
